student_id,academic_year,major,facility_rated,satisfaction_score,timestamp,comment
1074,1st Year,ME,Canteen,4,2025-04-03,Canteen is clean and spacious
1075,3rd Year,ME,Sports,3,2025-04-16,Facilities are manageable
1076,4th Year,AIDS,Sports,4,2025-06-29,Sports environment is motivating
1077,1st Year,AIDS,Classroom,5,2025-07-06,Satisfied with classroom facilities
1078,3rd Year,CE,Transport,2,2025-05-10,Transport service is average
1079,1st Year,AIDS,Classroom,4,2026-01-06,Projector and seating are fine
1080,1st Year,ECE,Canteen,5,2025-05-02,Snacks are fresh and tasty
1081,2nd Year,CE,Transport,2,2025-03-11,Delay causes problems
1082,2nd Year,BBA,Canteen,2,2025-04-17,Canteen is crowded
1083,2nd Year,BBA,Lab,4,2025-08-28,Lab equipment is good
1084,1st Year,CSE,Library,4,2025-04-08,Very satisfied with library environment
1085,4th Year,CE,Lab,2,2025-09-07,Internet is slow in lab
1086,3rd Year,BBA,Lab,2,2025-05-05,Lab equipment needs upgrade
1087,3rd Year,ME,Hostel,5,2025-07-25,Hostel maintenance is good
1088,1st Year,AIDS,Hostel,3,2026-02-02,Hostel experience is okay
1089,2nd Year,CE,Lab,4,2025-09-16,Systems work properly
1090,2nd Year,ECE,Transport,1,2025-08-23,Delay causes problems
1091,2nd Year,CSE,Lab,1,2025-07-16,Some systems do not work
1092,1st Year,BBA,Transport,4,2025-10-07,Bus staff is cooperative
1093,4th Year,CE,Classroom,4,2026-02-22,Classroom atmosphere is positive
1094,4th Year,AIDS,Canteen,1,2025-12-02,Canteen food quality is poor
1095,4th Year,CSE,Canteen,5,2025-09-28,Food quality is good
1096,3rd Year,CSE,Classroom,4,2025-01-01,Projector and seating are fine
1097,3rd Year,ME,Sports,3,2025-05-21,Facilities are manageable
1098,3rd Year,BBA,Classroom,3,2025-10-29,Average classroom experience
1099,4th Year,ME,Lab,4,2025-01-24,Practical learning is effective
1100,1st Year,BBA,Library,2,2025-10-15,Library seating is limited
1101,1st Year,BBA,Transport,3,2025-05-17,Bus service is okay
1102,3rd Year,ME,Sports,5,2025-03-12,Coaching support is helpful
1103,1st Year,BBA,Library,5,2026-03-11,Library services are excellent
1104,3rd Year,CE,Hostel,2,2025-07-18,Rooms are crowded
1105,1st Year,ME,Lab,4,2025-07-01,Lab environment is excellent
1106,3rd Year,BBA,Canteen,5,2025-01-19,Service is fast and helpful
1107,2nd Year,ME,Canteen,2,2025-07-24,Service is slow
1108,1st Year,BBA,Hostel,2,2025-03-27,Hostel cleanliness is average
1109,2nd Year,ECE,Transport,1,2025-01-12,Buses are often late
1110,2nd Year,BBA,Sports,3,2025-06-09,Okay sports experience
1111,2nd Year,ME,Transport,4,2026-02-05,Transport service is excellent
1112,2nd Year,CE,Library,1,2025-04-03,Library is sometimes noisy
1113,3rd Year,ECE,Hostel,5,2026-03-15,Rooms are clean and safe
1114,3rd Year,ECE,Library,5,2026-01-12,Library services are excellent
1115,4th Year,AIDS,Library,2,2026-03-06,Library seating is limited
1116,2nd Year,CE,Sports,1,2025-02-14,Practice timing is not managed well
1117,4th Year,BBA,Lab,3,2026-02-16,Lab support is manageable
1118,3rd Year,ME,Transport,2,2025-07-16,Need more buses
1119,4th Year,BBA,Hostel,4,2025-12-10,Hostel rooms are comfortable
1120,2nd Year,CE,Library,1,2025-09-21,Library is sometimes noisy
1121,3rd Year,ECE,Canteen,1,2025-07-06,Food is expensive
1122,3rd Year,AIDS,Transport,4,2025-08-29,Bus staff is cooperative
1123,2nd Year,CE,Classroom,4,2025-10-23,Classroom atmosphere is positive
1124,3rd Year,ECE,Transport,2,2025-07-10,Need more buses
1125,1st Year,CSE,Transport,1,2025-12-21,Need more buses
1126,2nd Year,ECE,Library,2,2025-02-01,Library seating is limited
1127,2nd Year,ECE,Hostel,2,2025-09-14,Rooms are crowded
1128,2nd Year,ECE,Library,3,2025-04-03,Decent experience in library
1129,1st Year,BBA,Library,2,2025-01-27,Library needs more books
1130,2nd Year,CSE,Sports,3,2025-01-12,Okay sports experience
1131,3rd Year,BBA,Canteen,5,2026-02-10,Canteen is clean and spacious
1132,2nd Year,ME,Canteen,4,2025-03-08,Canteen experience is nice
1133,1st Year,CSE,Transport,1,2025-09-19,Need more buses
1134,3rd Year,AIDS,Lab,4,2025-01-24,Lab environment is excellent
1135,2nd Year,AIDS,Hostel,1,2025-01-09,Hostel cleanliness is average
1136,3rd Year,CE,Lab,4,2025-10-06,Systems work properly
1137,4th Year,CSE,Sports,4,2026-02-24,Ground is well maintained
1138,1st Year,CE,Lab,1,2025-11-12,Lab is overcrowded
1139,3rd Year,CSE,Classroom,1,2025-07-30,Projector issues happen often
1140,4th Year,ME,Transport,2,2025-04-22,Transport service is average
1141,1st Year,ECE,Canteen,2,2025-08-31,Service is slow
1142,3rd Year,ME,Hostel,5,2025-04-19,Hostel environment is peaceful
1143,4th Year,ME,Lab,1,2025-03-22,Internet is slow in lab
1144,4th Year,AIDS,Sports,1,2025-02-17,Practice timing is not managed well
1145,4th Year,AIDS,Canteen,3,2025-03-25,Food is average
1146,2nd Year,ME,Library,1,2025-05-04,Library seating is limited
1147,3rd Year,ECE,Classroom,5,2025-06-13,Satisfied with classroom facilities
1148,4th Year,BBA,Transport,1,2026-03-14,Delay causes problems
1149,1st Year,ECE,Hostel,3,2025-07-05,Hostel experience is okay
1150,4th Year,CSE,Hostel,5,2025-07-21,Satisfied with hostel services
1151,3rd Year,ME,Classroom,2,2025-07-19,Classroom maintenance is poor
1152,2nd Year,ME,Hostel,2,2025-07-31,Maintenance is poor
1153,1st Year,ECE,Library,5,2025-05-30,Library has good study space
1154,2nd Year,CE,Classroom,5,2025-02-21,Classrooms are clean and comfortable
1155,2nd Year,CE,Classroom,3,2025-04-24,Average classroom experience
1156,1st Year,ECE,Canteen,3,2025-06-26,Food is average
1157,3rd Year,BBA,Transport,3,2026-03-16,Transport is average
1158,1st Year,ECE,Sports,5,2025-03-14,Equipment is available and useful
1159,3rd Year,BBA,Transport,4,2026-01-04,Buses are mostly on time
1160,1st Year,BBA,Canteen,4,2025-07-26,Canteen experience is nice
1161,4th Year,ECE,Library,3,2026-01-21,Decent experience in library
1162,4th Year,BBA,Sports,4,2026-02-08,Sports facilities are good
1163,2nd Year,CSE,Sports,2,2025-12-19,Need more sports support
1164,3rd Year,CE,Library,3,2025-06-06,Library is average
1165,3rd Year,AIDS,Lab,4,2025-05-17,Lab environment is excellent
1166,3rd Year,ME,Lab,2,2026-02-23,Lab equipment needs upgrade
1167,1st Year,AIDS,Library,2,2025-06-30,Library needs more books
1168,3rd Year,AIDS,Hostel,5,2025-04-13,Rooms are clean and safe
1169,2nd Year,BBA,Library,4,2025-09-05,Very satisfied with library environment
1170,2nd Year,BBA,Classroom,1,2026-02-03,Classroom cleanliness is average
1171,1st Year,ME,Library,4,2025-12-26,Books are easily available
1172,1st Year,ME,Library,1,2025-03-12,Library is sometimes noisy
1173,1st Year,BBA,Sports,5,2025-10-24,Equipment is available and useful
1174,4th Year,CE,Lab,4,2025-11-23,Lab equipment is good
1175,4th Year,CE,Canteen,1,2025-07-13,Canteen is crowded
1176,4th Year,ME,Lab,4,2025-02-12,Lab sessions are very helpful
1177,2nd Year,ECE,Hostel,4,2025-06-19,Rooms are clean and safe
1178,1st Year,BBA,Hostel,2,2025-08-22,Hostel rooms need improvement
1179,3rd Year,AIDS,Classroom,4,2025-08-25,Classrooms are clean and comfortable
1180,1st Year,BBA,Sports,1,2026-01-12,Need more sports support
1181,4th Year,BBA,Lab,4,2025-06-05,Systems work properly
1182,3rd Year,CE,Library,2,2025-04-14,Library is sometimes noisy
1183,3rd Year,AIDS,Classroom,4,2025-08-24,Classrooms are clean and comfortable
1184,2nd Year,CE,Lab,3,2025-11-23,Lab support is manageable
1185,3rd Year,ECE,Classroom,1,2025-12-16,Classroom maintenance is poor
1186,1st Year,ECE,Lab,4,2025-08-19,Lab sessions are very helpful
1187,4th Year,CE,Lab,4,2025-01-15,Practical learning is effective
1188,4th Year,CSE,Hostel,3,2025-12-11,Facilities are manageable
1189,2nd Year,ME,Lab,1,2025-02-17,Some systems do not work
1190,3rd Year,ME,Sports,1,2025-06-23,Sports equipment is limited
1191,2nd Year,ECE,Lab,5,2026-03-09,Systems work properly
1192,2nd Year,AIDS,Transport,3,2025-01-19,Transport is average
1193,3rd Year,ECE,Sports,1,2026-03-14,Need more sports support
1194,1st Year,CE,Lab,3,2025-05-30,Lab support is manageable
1195,1st Year,BBA,Sports,4,2025-05-25,Equipment is available and useful
1196,1st Year,ME,Transport,2,2025-02-23,Buses are often late
1197,2nd Year,ME,Lab,5,2026-02-05,Practical learning is effective
1198,4th Year,CE,Lab,4,2025-01-19,Lab sessions are very helpful
1199,4th Year,AIDS,Library,5,2025-06-04,Library services are excellent
1200,3rd Year,AIDS,Sports,3,2025-10-16,Okay sports experience
1201,2nd Year,AIDS,Classroom,3,2025-04-29,Classroom is okay
1202,2nd Year,CSE,Sports,2,2026-03-03,Need more sports support
1203,1st Year,ME,Transport,2,2025-12-03,Need more buses
1204,2nd Year,ME,Hostel,5,2025-10-26,Satisfied with hostel services
1205,3rd Year,BBA,Classroom,2,2025-06-10,Projector issues happen often
1206,1st Year,ME,Sports,3,2025-05-28,Sports facilities are average
1207,3rd Year,ME,Lab,2,2025-10-21,Some systems do not work
1208,4th Year,AIDS,Hostel,1,2025-06-16,Rooms are crowded
1209,4th Year,ECE,Canteen,3,2025-07-10,Average experience in canteen
1210,3rd Year,CE,Transport,4,2025-12-26,Transport service is excellent
1211,1st Year,CE,Transport,5,2025-04-18,Bus staff is cooperative
1212,4th Year,AIDS,Classroom,4,2025-08-28,Classroom atmosphere is positive
1213,3rd Year,BBA,Classroom,4,2025-02-28,Teaching environment is good
1214,3rd Year,ECE,Hostel,1,2025-02-07,Hostel cleanliness is average
1215,2nd Year,AIDS,Library,5,2026-03-05,Library services are excellent
1216,1st Year,CSE,Library,1,2025-08-08,Need improvement in library timing
1217,3rd Year,ME,Lab,4,2025-06-05,Lab equipment is good
1218,4th Year,AIDS,Sports,4,2025-06-04,Coaching support is helpful
1219,2nd Year,AIDS,Canteen,2,2025-09-29,Service is slow
1220,1st Year,CSE,Canteen,1,2026-03-10,Canteen is crowded
1221,3rd Year,BBA,Lab,3,2025-03-18,Average lab experience
1222,1st Year,CE,Classroom,4,2025-04-10,Classroom atmosphere is positive
1223,3rd Year,ECE,Library,3,2025-01-07,Library is okay overall
1224,1st Year,AIDS,Lab,5,2026-03-25,Systems work properly
1225,4th Year,CSE,Library,1,2025-04-24,Library is sometimes noisy
1226,1st Year,ECE,Sports,5,2025-04-11,Coaching support is helpful
1227,2nd Year,ME,Sports,3,2025-02-13,Facilities are manageable
1228,1st Year,CE,Sports,1,2025-10-27,Practice timing is not managed well
1229,3rd Year,ECE,Transport,1,2025-09-07,Delay causes problems
1230,1st Year,ME,Library,5,2025-04-09,Library has good study space
1231,1st Year,CSE,Classroom,3,2025-08-26,Facilities are manageable
1232,3rd Year,BBA,Library,4,2025-11-30,Books are easily available
1233,3rd Year,ME,Lab,2,2026-03-08,Some systems do not work
1234,2nd Year,CSE,Canteen,4,2026-01-21,Service is fast and helpful
1235,4th Year,CE,Classroom,5,2026-02-11,Teaching environment is good
1236,4th Year,AIDS,Sports,3,2025-06-26,Okay sports experience
1237,1st Year,ME,Sports,1,2025-04-14,Need more sports support
1238,2nd Year,CE,Lab,1,2025-09-20,Lab is overcrowded
1239,1st Year,ECE,Lab,5,2025-05-25,Lab equipment is good
1240,4th Year,BBA,Library,4,2025-09-17,Books are easily available
1241,1st Year,BBA,Classroom,4,2025-05-19,Classrooms are clean and comfortable
1242,3rd Year,CSE,Canteen,5,2025-12-30,Canteen is clean and spacious
1243,4th Year,ME,Library,3,2025-05-18,Library is average
1244,2nd Year,CSE,Hostel,5,2025-07-08,Hostel rooms are comfortable
1245,3rd Year,CE,Canteen,3,2025-04-03,Food is average
1246,4th Year,CSE,Classroom,2,2025-12-08,Classroom cleanliness is average
1247,4th Year,ME,Sports,5,2025-08-24,Sports environment is motivating
1248,2nd Year,BBA,Library,1,2025-03-25,Library seating is limited
1249,3rd Year,BBA,Classroom,2,2025-06-26,Classroom cleanliness is average
1250,3rd Year,AIDS,Canteen,5,2025-10-30,Food quality is good
1251,4th Year,ECE,Lab,5,2025-07-04,Systems work properly
1252,1st Year,AIDS,Classroom,5,2025-06-22,Teaching environment is good
1253,2nd Year,AIDS,Hostel,3,2025-10-22,Hostel is average
1254,3rd Year,ECE,Transport,5,2025-10-30,Bus staff is cooperative
1255,3rd Year,ECE,Hostel,1,2025-06-15,Rooms are crowded
1256,3rd Year,ME,Classroom,3,2025-09-11,Average classroom experience
1257,3rd Year,ECE,Library,3,2025-01-22,Library is okay overall
1258,2nd Year,CE,Hostel,4,2025-05-03,Hostel rooms are comfortable
1259,4th Year,BBA,Transport,5,2025-04-24,Transport is convenient
1260,1st Year,CE,Hostel,4,2025-10-16,Hostel rooms are comfortable
1261,4th Year,ME,Canteen,4,2025-01-25,Food quality is good
1262,4th Year,BBA,Sports,3,2025-08-18,Okay sports experience
1263,3rd Year,CSE,Transport,4,2025-10-08,Bus staff is cooperative
1264,4th Year,ME,Transport,5,2025-05-24,Bus staff is cooperative
1265,3rd Year,BBA,Lab,4,2025-07-20,Practical learning is effective
1266,2nd Year,ME,Canteen,4,2025-05-16,Canteen experience is nice
1267,3rd Year,AIDS,Canteen,4,2025-12-15,Snacks are fresh and tasty
1268,2nd Year,ME,Hostel,3,2025-04-18,Hostel is average
1269,3rd Year,ME,Lab,1,2025-03-23,Need improvement in practical support
1270,3rd Year,CE,Classroom,5,2025-01-30,Teaching environment is good
1271,2nd Year,ME,Lab,5,2025-11-07,Lab sessions are very helpful
1272,2nd Year,ECE,Canteen,1,2025-09-18,Canteen food quality is poor
1273,3rd Year,BBA,Hostel,5,2025-06-15,Rooms are clean and safe
1274,3rd Year,BBA,Sports,1,2025-12-21,Practice timing is not managed well
1275,2nd Year,ME,Library,3,2025-06-20,Library is okay overall
1276,2nd Year,ECE,Canteen,1,2025-06-05,Canteen food quality is poor
1277,1st Year,AIDS,Hostel,5,2025-08-13,Rooms are clean and safe
1278,1st Year,CE,Lab,5,2026-02-21,Lab equipment is good
1279,1st Year,CE,Sports,5,2025-11-04,Coaching support is helpful
1280,1st Year,AIDS,Sports,4,2025-10-13,Ground is well maintained
1281,3rd Year,CSE,Sports,2,2025-07-08,Ground maintenance is poor
1282,3rd Year,CSE,Canteen,1,2025-01-16,Food is expensive
1283,4th Year,CE,Transport,5,2025-09-03,Transport is convenient
1284,2nd Year,ECE,Hostel,3,2025-12-04,Hostel is average
1285,3rd Year,ECE,Sports,1,2025-02-25,Ground maintenance is poor
1286,1st Year,BBA,Canteen,2,2026-03-31,Canteen is crowded
1287,2nd Year,BBA,Sports,2,2025-11-11,Practice timing is not managed well
1288,2nd Year,CE,Lab,1,2025-03-30,Internet is slow in lab
1289,3rd Year,AIDS,Lab,5,2025-01-26,Systems work properly
1290,2nd Year,AIDS,Sports,3,2026-02-23,Sports facilities are average
1291,3rd Year,CE,Sports,5,2025-07-07,Ground is well maintained
1292,4th Year,ECE,Lab,4,2025-08-07,Lab sessions are very helpful
1293,1st Year,BBA,Hostel,4,2025-09-15,Hostel rooms are comfortable
1294,4th Year,BBA,Hostel,3,2026-01-01,Facilities are manageable
1295,2nd Year,ECE,Lab,1,2025-03-31,Need improvement in practical support
1296,4th Year,AIDS,Hostel,3,2025-12-22,Hostel is average
1297,1st Year,CE,Transport,2,2025-06-01,Transport timing is not reliable
1298,1st Year,AIDS,Hostel,4,2025-08-22,Hostel rooms are comfortable
1299,3rd Year,ECE,Library,5,2025-11-01,Library services are excellent
1300,3rd Year,BBA,Sports,5,2025-04-02,Ground is well maintained
1301,1st Year,AIDS,Transport,4,2025-10-05,Very satisfied with transport
1302,2nd Year,ECE,Classroom,1,2025-05-13,Rooms need better ventilation
1303,2nd Year,ECE,Classroom,3,2026-03-28,Average classroom experience
1304,3rd Year,CE,Lab,4,2025-01-26,Systems work properly
1305,4th Year,CSE,Lab,4,2025-09-02,Lab equipment is good
1306,1st Year,AIDS,Hostel,1,2025-06-09,Hostel rooms need improvement
1307,4th Year,BBA,Classroom,4,2025-02-15,Projector and seating are fine
1308,2nd Year,CE,Transport,2,2025-01-13,Transport service is average
1309,1st Year,CE,Library,1,2026-01-28,Issue with book availability
1310,3rd Year,AIDS,Hostel,3,2026-01-02,Hostel experience is okay
1311,4th Year,BBA,Hostel,3,2026-01-24,Facilities are manageable
1312,4th Year,CSE,Hostel,3,2026-02-05,Hostel is average
1313,1st Year,CSE,Lab,3,2025-02-19,Lab support is manageable
1314,2nd Year,BBA,Transport,4,2025-12-14,Buses are mostly on time
1315,2nd Year,CSE,Hostel,5,2025-01-01,Satisfied with hostel services
1316,2nd Year,BBA,Library,4,2025-05-06,Library services are excellent
1317,3rd Year,CE,Lab,1,2025-04-03,Need improvement in practical support
1318,4th Year,BBA,Hostel,5,2025-05-04,Satisfied with hostel services
1319,2nd Year,BBA,Hostel,1,2025-09-25,Rooms are crowded
1320,4th Year,ECE,Lab,1,2025-01-15,Some systems do not work
1321,4th Year,BBA,Library,1,2025-07-15,Library is sometimes noisy
1322,2nd Year,CSE,Hostel,5,2026-01-05,Rooms are clean and safe
1323,1st Year,ECE,Sports,1,2025-12-27,Sports equipment is limited
1324,2nd Year,ME,Sports,1,2025-06-16,Sports equipment is limited
1325,1st Year,BBA,Classroom,2,2026-03-18,Classroom cleanliness is average
1326,2nd Year,BBA,Transport,4,2025-11-04,Bus staff is cooperative
1327,3rd Year,CSE,Hostel,3,2025-03-27,Hostel experience is okay
1328,3rd Year,ECE,Sports,4,2025-08-07,Sports facilities are good
1329,2nd Year,CE,Sports,2,2025-03-18,Ground maintenance is poor
1330,3rd Year,BBA,Lab,3,2025-01-24,Lab is okay
1331,1st Year,ME,Transport,2,2025-12-12,Buses are often late
1332,1st Year,AIDS,Sports,2,2025-06-26,Facilities need improvement
1333,2nd Year,ECE,Classroom,3,2025-06-24,Average classroom experience
1334,3rd Year,ECE,Library,4,2025-08-15,Library has good study space
1335,2nd Year,CSE,Sports,1,2025-02-25,Practice timing is not managed well
1336,1st Year,ECE,Sports,5,2025-09-19,Sports environment is motivating
1337,3rd Year,CSE,Hostel,4,2026-01-23,Hostel environment is peaceful
1338,4th Year,CSE,Transport,4,2026-02-17,Transport service is excellent
1339,2nd Year,CSE,Library,4,2025-02-19,Books are easily available
1340,3rd Year,CSE,Transport,4,2025-06-16,Transport service is excellent
1341,2nd Year,ME,Transport,2,2025-06-20,Transport service is average
1342,1st Year,CSE,Hostel,4,2025-09-15,Hostel maintenance is good
1343,1st Year,ECE,Sports,2,2025-08-18,Ground maintenance is poor
1344,2nd Year,CSE,Sports,1,2025-04-26,Sports equipment is limited
1345,1st Year,ECE,Classroom,2,2025-06-13,Projector issues happen often
1346,1st Year,BBA,Classroom,2,2025-01-18,Classroom cleanliness is average
1347,4th Year,ECE,Library,3,2025-08-11,Decent experience in library
1348,1st Year,CE,Sports,5,2025-12-05,Sports environment is motivating
1349,1st Year,AIDS,Sports,3,2026-03-04,Facilities are manageable
1350,1st Year,CE,Lab,2,2025-02-21,Lab is overcrowded
1351,1st Year,AIDS,Classroom,2,2025-04-22,Classroom seating is uncomfortable
1352,3rd Year,BBA,Lab,2,2025-04-06,Lab is overcrowded
1353,1st Year,ECE,Canteen,3,2026-01-09,Food is average
1354,3rd Year,ME,Lab,4,2025-08-10,Practical learning is effective
1355,3rd Year,AIDS,Classroom,3,2026-02-14,Facilities are manageable
1356,2nd Year,CE,Classroom,1,2025-10-30,Classroom seating is uncomfortable
1357,1st Year,CSE,Library,3,2025-08-03,Library is okay overall
1358,4th Year,ECE,Library,1,2025-04-22,Need improvement in library timing
1359,1st Year,ME,Transport,3,2025-09-17,Transport is average
1360,4th Year,BBA,Canteen,2,2025-03-19,Service is slow
1361,3rd Year,AIDS,Classroom,1,2025-09-18,Projector issues happen often
1362,2nd Year,ECE,Canteen,1,2025-10-03,Food is expensive
1363,1st Year,ME,Sports,2,2025-05-02,Facilities need improvement
1364,2nd Year,AIDS,Classroom,4,2026-01-30,Projector and seating are fine
1365,1st Year,CE,Sports,2,2025-07-25,Facilities need improvement
1366,4th Year,CSE,Transport,3,2025-10-13,Average transport experience
1367,4th Year,ME,Hostel,5,2025-05-23,Rooms are clean and safe
1368,4th Year,ME,Canteen,4,2025-07-20,Snacks are fresh and tasty
1369,4th Year,AIDS,Hostel,4,2025-06-10,Hostel maintenance is good
1370,4th Year,BBA,Canteen,5,2025-02-22,Canteen is clean and spacious
1371,4th Year,ME,Hostel,3,2025-05-27,Hostel is average
1372,2nd Year,BBA,Lab,3,2025-11-01,Lab support is manageable
1373,2nd Year,CSE,Transport,1,2025-03-11,Buses are often late
1374,4th Year,AIDS,Canteen,1,2025-07-08,Food is expensive
1375,2nd Year,CSE,Canteen,2,2025-08-11,Food is expensive
1376,1st Year,BBA,Canteen,5,2026-01-01,Food quality is good
1377,1st Year,AIDS,Canteen,2,2025-12-29,Canteen food quality is poor
1378,3rd Year,CSE,Lab,2,2025-09-05,Some systems do not work
1379,1st Year,ME,Sports,1,2026-01-11,Ground maintenance is poor
1380,2nd Year,ME,Library,2,2025-07-16,Library needs more books
1381,2nd Year,ME,Classroom,5,2026-03-20,Classrooms are clean and comfortable
1382,3rd Year,ME,Lab,1,2025-01-25,Lab is overcrowded
1383,3rd Year,CE,Library,2,2025-05-25,Need improvement in library timing
1384,4th Year,ECE,Transport,3,2025-04-06,Transport is average
1385,1st Year,ECE,Classroom,1,2026-01-12,Classroom seating is uncomfortable
1386,3rd Year,BBA,Hostel,3,2026-03-06,Hostel is average
1387,1st Year,ECE,Classroom,1,2025-12-15,Classroom maintenance is poor
1388,4th Year,CE,Transport,3,2025-10-28,Transport is average
1389,4th Year,ECE,Sports,5,2025-03-25,Sports environment is motivating
1390,4th Year,BBA,Canteen,5,2025-04-26,Food quality is good
1391,1st Year,ME,Sports,2,2025-06-24,Sports equipment is limited
1392,4th Year,CSE,Classroom,5,2025-01-21,Teaching environment is good
1393,3rd Year,ME,Library,3,2026-03-26,Library is okay overall
1394,1st Year,ME,Canteen,2,2025-02-22,Canteen food quality is poor
1395,3rd Year,BBA,Hostel,4,2026-04-01,Hostel rooms are comfortable
1396,4th Year,ECE,Lab,4,2025-11-12,Lab environment is excellent
1397,1st Year,CE,Lab,3,2025-01-28,Average lab experience
1398,1st Year,CSE,Library,4,2025-06-05,Very satisfied with library environment
